organism_tidy_name,join,ref_seq,organism_name.x,ncbi_taxonomy.x,gtdb_taxonomy.x,gtdb_representative_of_species.x,gtdb_type_material.x,genome_representation,check_m_completeness.x,check_m_contamination.x,gc_percentage.x,genome_size.x,contig_count,country,date,isolation_source,spanned_gaps,unspanned_gaps,assembly_level,protein_count,gen_bank_assembly_id_accession_version,accession_number,regional_loaction,geographic_feature,environment_detail,tempurature,lat_long,temp_estimate,temp_cat,gyrA,nusA,infC,infA,otsA,dnaK,recA,dnaJ,aceF,deaD,infB,tig,rnr,dnaA,hupB,rbfA,yfiA,pnp,csp,aceE,desA,PsaB,cya_PsbA,PsaA,cya_PsaC,PsbB,PsbC,PsbO,bac_PsbA,D2_PsbD,PsaD,PsaE,bac_PsaC
Anabaena_sp_YBS01,_009498015.1_,GCF_009498015.1,Anabaena sp. YBS01,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Anabaena;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;s__Trichormus variabilis,FALSE,not type material,NA,99.33,0,41.43318314,7013200,NA,NA,NA,NA,NA,NA,Complete Genome,5870,GCA_009498015.1,ASM949801v1,india,soil,"soil, terrestrial",NA,NA,NA,NA,2,1,2,1,1,9,1,10,1,16,5,1,2,2,2,1,0,4,1,2,6,3,6,3,1,2,2,1,6,6,1,1,12
Anthocerotibacter_panamensis_C109,_018389385.1_,GCF_018389385.1,Anthocerotibacter panamensis C109,d__Bacteria;p__Cyanobacteria;c__Gloeobacteria;o__Gloeobacterales;f__Gloeobacteraceae;g__Anthocerotibacter;s__Anthocerotibacter panamensis,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Gloeobacterales;f__LV9;g__Anthocerotibacter;s__Anthocerotibacter panamensis,TRUE,not type material,NA,98.29,0.85,55.50584233,4187797,NA,NA,NA,NA,NA,NA,Complete Genome,4027,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,7,1,7,1,10,5,1,1,2,2,1,0,2,0,2,4,2,4,2,1,2,2,1,4,4,1,1,5
Aphanizomenon_flos-aquae_LD13,_001672165.1_,GCA_001672165.1,Aphanizomenon flos-aquae LD13,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Aphanizomenonaceae;g__Aphanizomenon;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__Dolichospermum flosaquae,FALSE,not type material,full,99.67,0.37,37.05278224,4439448,307,USA: Upper Klamath Lake; OR,2016-06-20,non-pure culture,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,7,1,7,1,13,5,1,2,1,1,2,0,3,0,1,4,2,8,2,1,2,2,1,6,7,1,1,9
Aphanizomenon_flos-aquae_MDT14a,_001672095.1_,GCA_001672095.1,Aphanizomenon flos-aquae MDT14a,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Aphanizomenonaceae;g__Aphanizomenon;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__Dolichospermum flosaquae,FALSE,not type material,full,99,1,37.11297813,4632587,193,USA: Upper Klamath Lake; OR,2016-06-20,lake water,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,8,1,7,1,12,5,1,2,1,2,2,0,3,0,1,4,2,7,2,1,2,2,1,5,7,1,1,9
Aphanizomenon_flos-aquae_UKL13-PB,_001593825.2_,GCA_001593825.2,Aphanizomenon flos-aquae UKL13-PB,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Aphanizomenonaceae;g__Aphanizomenon;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__Dolichospermum flosaquae,FALSE,not type material,full,99.67,0.22,37.0400213,4484012,15,USA: Upper Klamath Lake; OR,2021-03-15,UKL13 co-culture; a single cyanobacterial colony from a depth-integrated water sample grown as a non-axenic culture,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,8,1,7,1,11,5,1,2,1,1,2,0,3,0,1,4,2,5,2,1,2,2,1,5,5,1,1,9
Arthrospira_sp_PCC_9108,_016745315.1_,GCF_016745315.1,Arthrospira sp. PCC 9108,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Microcoleaceae;g__Arthrospira;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcoleaceae;g__Limnospira;s__Limnospira platensis,TRUE,not type material,NA,98.91,0.22,44.24840227,6763964,NA,NA,NA,NA,NA,NA,Complete Genome,6694,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,8,1,8,1,13,4,1,2,1,2,1,2,5,0,1,4,2,7,2,1,3,3,1,7,7,1,1,6
Calothrix_sp_336_3,_000734895.2_,GCF_000734895.2,Calothrix sp. 336/3,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Calotrichaceae;g__Calothrix;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__336-3;s__336-3 sp000734895,TRUE,not type material,full,100,0,41.09693486,6420126,4,Finland: Enajarvi,2015-05-06,water,0,0,Complete Genome,5416,GCA_000734895.2,ASM73489v2,Finland,NA,water,NA,NA,<15,cold-freezing,2,1,2,1,0,8,2,8,1,13,6,1,2,1,1,1,0,4,0,1,3,2,5,2,1,2,3,1,5,5,1,1,9
Calothrix_sp_HK-06,_001904745.1_,GCF_001904745.1,Calothrix sp. HK-06,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Calotrichaceae;g__Calothrix;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Calothrix;s__Calothrix sp001904745,TRUE,not type material,full,99.15,1.59,38.81849874,9990453,255,Japan: Hyogo Harima Campus for Science; Univrersity of Hyogo,2016-12-14,soil,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,0,13,1,10,1,17,7,1,2,2,1,2,0,4,1,1,12,3,7,2,1,2,2,1,7,5,1,1,9
Calothrix_sp_NIES-2098,_002368175.1_,GCF_002368175.1,Calothrix sp. NIES-2098,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Calotrichaceae;g__Calothrix;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Aulosira;s__Aulosira sp002368175,TRUE,not type material,NA,99.33,0.78,41.18435866,8878628,NA,NA,NA,NA,NA,NA,Complete Genome,7367,GCA_002368175.1,ASM236817v1,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,0,10,2,12,1,14,6,1,2,2,1,1,0,4,0,1,11,2,9,2,1,2,2,1,9,9,1,1,14
Calothrix_sp_NIES-3974,_002368395.1_,GCF_002368395.1,Calothrix sp. NIES-3974,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Calotrichaceae;g__Calothrix;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Calothrix;s__Calothrix sp002368395,TRUE,not type material,NA,99.52,0,41.52620962,5985875,NA,NA,NA,NA,NA,NA,Complete Genome,4825,GCA_002368395.1,ASM236839v1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,7,1,8,1,10,5,1,2,1,1,1,1,5,0,1,5,4,9,4,1,7,8,1,9,9,1,1,8
Calothrix_sp_NIES-4071,_002368455.1_,GCF_002368455.1,Calothrix sp. NIES-4071,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Calotrichaceae;g__Calothrix;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Calothrix;s__Calothrix sp002368415,FALSE,not type material,NA,99.04,1.14,39.00098047,12049274,NA,NA,NA,NA,NA,NA,Complete Genome,10950,GCA_002368455.1,ASM236845v1,japan,NA,NA,NA,NA,NA,NA,2,1,2,1,0,10,2,10,1,19,8,1,2,2,1,2,0,4,1,1,9,2,7,2,1,2,2,1,7,7,1,1,7
Calothrix_sp_PCC_6303,_000317435.1_,GCF_000317435.1,Calothrix sp. PCC 6303,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Calotrichaceae;g__Calothrix;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Calothrix;s__Calothrix sp000317435,TRUE,not type material,full,99.76,0,39.79686776,6960392,4,USA,2012-12-06,unialgal culture in lake water,0,0,Complete Genome,5792,GCA_000317435.1,ASM31743v1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,8,1,9,1,13,5,1,2,1,1,1,0,4,1,1,5,2,6,2,1,4,5,1,6,6,1,1,9
Calothrix_sp_PCC_7103,_000331305.1_,GCF_000331305.1,Calothrix sp. PCC 7103,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Calotrichaceae;g__Calothrix;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Calothrix;s__Calothrix sp000331305,TRUE,not type material,full,99.39,1.14,38.55484902,11584393,73,USA,2013-01-11,herbarium material of Anacystis montana,61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,0,12,2,10,1,23,7,1,2,2,1,2,0,4,1,1,12,3,8,3,1,6,6,1,8,8,1,1,8
Calothrix_sp_PCC_7507,_000316575.1_,GCF_000316575.1,Calothrix sp. PCC 7507,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Calotrichaceae;g__Calothrix;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Fortiea;s__Fortiea sp000316575,TRUE,not type material,full,99.11,0.44,42.24716173,7023215,1,Switzerland,2012-12-04,Sphagnum bog,0,0,Complete Genome,6150,GCA_000316575.1,ASM31657v1,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,0,8,1,9,1,16,6,1,2,3,1,1,0,4,0,2,5,4,9,4,1,8,8,1,9,9,1,1,11
Candidatus_Atelocyanobacterium_thalassa,_000025125.1_,GCF_000025125.1,Candidatus Atelocyanobacterium thalassa isolate ALOHA,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Aphanothecaceae;g__Candidatus Atelocyanobacterium;s__Candidatus Atelocyanobacterium thalassa,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae_A;g__Atelocyanobacterium;s__Atelocyanobacterium thalassa,TRUE,not type material,NA,73.92,0,31.11678439,1443806,NA,NA,2008,NA,NA,NA,Complete Genome,1196,GCA_000025125.1,ASM2512v1,north pacific ocean,"100 km north of Oahu, Hawaii",15 m,NA,"23.005, -157.989",NA,NA,2,1,1,1,1,2,1,4,1,5,5,1,3,0,2,1,1,2,0,0,1,2,0,2,1,1,1,0,0,0,1,1,4
Chlorogloeopsis_fritschii_PCC_6912,_000317285.1_,GCF_000317285.1,Chlorogloeopsis fritschii PCC 6912,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Chlorogloeopsidaceae;g__Chlorogloeopsis;s__Chlorogloeopsis fritschii,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Chlorogloeopsis;s__Chlorogloeopsis fritschii,TRUE,not type material,full,99.64,1.77,41.48086657,7751745,161,India: Allahabad,2012-12-05,soil,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,0,9,1,10,1,11,7,1,2,3,2,1,0,5,1,2,10,5,13,5,1,8,9,1,13,10,1,1,13
Chlorogloeopsis_fritschii_PCC_9212,_000317265.1_,GCF_000317265.1,Chlorogloeopsis fritschii PCC 9212,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Chlorogloeopsidaceae;g__Chlorogloeopsis;s__Chlorogloeopsis fritschii,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Chlorogloeopsis;s__Chlorogloeopsis fritschii,FALSE,not type material,full,99.76,1.53,41.49875599,7649851,188,Spain: Orense,2012-12-05,water; thermal spring,0,0,NA,NA,NA,NA,NA,NA,thermal spring,NA,NA,40-70,warm-hot,2,1,3,1,0,9,1,10,1,12,7,1,2,3,2,1,0,5,1,2,10,5,14,5,1,8,9,1,14,12,1,1,13
Chondrocystis_sp_NIES-4102,_002368355.1_,GCF_002368355.1,Chondrocystis sp. NIES-4102,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Chroococcaceae;g__Chondrocystis;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__Pleurocapsa;s__Pleurocapsa sp002368355,TRUE,not type material,NA,99.27,0.22,36.62214244,5002520,NA,NA,NA,NA,NA,NA,Complete Genome,4404,GCA_002368355.1,ASM236835v1,japan,Mimomi Hongo Park,NA,NA,"35.683299, 140.065562",NA,temperate,2,1,1,1,1,6,1,6,1,14,6,1,2,1,1,1,0,5,2,1,4,2,7,2,1,2,2,1,7,7,1,1,4
Chroococcidiopsis_thermalis_PCC_7203,_000317125.1_,GCF_000317125.1,Chroococcidiopsis thermalis PCC 7203,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcidiopsidales;f__Chroococcidiopsidaceae;g__Chroococcidiopsis;s__Chroococcidiopsis thermalis,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Chroococcidiopsidaceae;g__Chroococcidiopsis;s__Chroococcidiopsis thermalis,TRUE,not type material,full,99.63,1.44,44.47468465,6689401,3,Germany: Greifswald,2012-12-05,soil sample,0,0,Complete Genome,5973,GCA_000317125.1,ASM31712v1,NA,NA,NA,NA,NA,0-4,cold-freezing,2,1,1,1,0,6,1,8,1,13,5,1,2,2,1,1,1,4,0,1,8,6,10,6,1,7,7,1,10,10,1,1,9
Chroogloeocystis_siderophila_5_2_s_c_1,_001904655.1_,GCF_001904655.1,Chroogloeocystis siderophila 5.2 s.c.1,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Chroococcaceae;g__Chroogloeocystis;s__Chroogloeocystis siderophila,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Chroococcidiopsidaceae;g__Chroogloeocystis;s__Chroogloeocystis siderophila,TRUE,type strain of species,full,99.78,0.78,42.88287713,5009995,43,USA: Montana La Duke Hot Spring,2016-12-14,water,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,7,1,9,1,10,5,1,2,2,1,1,1,4,0,1,5,2,4,2,1,5,5,1,4,4,1,1,8
Crinalium_epipsammum_PCC_9333,_000317495.1_,GCF_000317495.1,Crinalium epipsammum PCC 9333,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Gomontiellaceae;g__Crinalium;s__Crinalium epipsammum,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__Crinalium;s__Crinalium epipsammum,TRUE,not type material,NA,99.48,0,40.16262523,5620407,NA,NA,NA,NA,NA,NA,Complete Genome,4994,GCA_000317495.1,ASM31749v1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,8,1,7,1,13,6,1,2,1,1,1,0,4,0,1,6,2,4,2,1,2,2,1,4,4,1,1,5
Crocosphaera_subtropica_ATCC_51142,_000017845.1_,GCF_000017845.1,Crocosphaera subtropica ATCC 51142,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Aphanothecaceae;g__Crocosphaera;s__Crocosphaera subtropica,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae_A;g__Crocosphaera;s__Crocosphaera subtropica,TRUE,type strain of species,NA,99.96,0,37.94194064,5460377,NA,NA,NA,NA,NA,NA,Complete Genome,5091,GCA_000017845.1,ASM1784v1,"Intertidal area, sea water, Texas, USA","Intertidal area, sea water","Subtropical ocean, intertidal area",NA,NA,NA,temperate,2,1,2,1,1,5,1,7,1,13,5,1,5,2,3,1,1,4,1,0,6,2,7,2,1,3,3,1,7,7,1,1,9
Cyanobacterium_aponinum_PCC_10605,_000317675.1_,GCF_000317675.1,Cyanobacterium aponinum PCC 10605,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Geminocystaceae;g__Cyanobacterium;s__Cyanobacterium aponinum,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;g__PCC-10605;s__PCC-10605 sp000317675,TRUE,not type material,NA,99.45,0,34.93142043,4176973,NA,NA,NA,NA,NA,NA,Complete Genome,3562,GCA_000317675.1,ASM31767v1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,7,1,6,1,9,4,1,3,0,1,1,0,4,0,1,3,2,6,2,1,3,3,1,6,6,1,1,5
cyanobacterium_endosymbiont_Epithemia_turgida,_000829235.1_,GCF_000829235.1,cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko,d__Bacteria;p__Cyanobacteria;c__;o__;f__;g__;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae_A;g__Rippkaea;s__Rippkaea sp000829235,TRUE,not type material,NA,84.86,0,33.41348408,2794318,NA,NA,NA,NA,NA,NA,Complete Genome,1918,GCA_000829235.1,ASM82923v1,japan,Lake Yunoko,"Epithemia turgida, host",NA,NA,NA,temperate,2,1,1,1,1,3,1,5,1,7,4,1,2,0,2,1,2,3,0,1,2,0,0,0,0,1,0,0,0,1,0,0,4
cyanobacterium_endosymbiont_Rhopalodia_gibberula,_003574135.1_,GCF_003574135.1,cyanobacterium endosymbiont of Rhopalodia gibberula,d__Bacteria;p__Cyanobacteria;c__;o__;f__;g__;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae_A;g__Rippkaea;s__Rippkaea sp003574135,TRUE,not type material,NA,89.52,0,33.93430937,3020309,NA,NA,NA,NA,NA,NA,Complete Genome,2056,GCA_003574135.1,ASM357413v1,Japan,Namiki Park,primary_g_Stool,NA,36.06544 N 140.14227 E,NA,NA,2,1,1,1,1,3,1,5,1,6,4,1,2,1,2,1,1,3,0,1,2,0,0,0,0,0,0,0,0,1,0,0,4
Cyanobacterium_sp_IPPAS_B-1200,_001747005.1_,GCF_001747005.1,Cyanobacterium sp. IPPAS B-1200,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Geminocystaceae;g__Cyanobacterium;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;g__Cyanobacterium;s__Cyanobacterium sp002813895,FALSE,not type material,full,99.34,0,37.72560303,3410249,136,Kazakhstan: Lake Balkhash,2016-09-27,lake water,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,6,1,6,1,8,4,1,3,0,2,1,0,4,0,1,2,2,5,2,1,2,2,1,5,5,1,1,5
