ref,seq,class,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
GCF,9705,WP_010994249.1|RR|OmpR,11,19,6,3.16666667,0.35714286,0.07142857,214.231821,0.99642708,-0.2232143
GCF,9705,WP_010994294.1|HK|Classic,15,12,14,0.85714286,0.3442623,0.05245902,296.11706,1.00039547,-0.1268852
GCF,9705,WP_010994306.1|RR|OmpR,14,19,7,2.71428571,0.33198381,0.06072874,237.532917,0.99803746,-0.2157895
GCF,9705,WP_010994359.1|HK|Hybrid,40,38,27,1.40740741,0.34825175,0.0951049,702.692286,0.99531485,-0.061958
GCF,9705,WP_010994441.1|RR|CheY,5,5,9,0.55555556,0.32450331,0.0794702,141.636048,0.99743696,-0.0960265
GCF,9705,WP_010994499.1|HK|Classic,76,55,108,0.50925926,0.33462389,0.0840708,1795.58654,0.99810258,-0.1206858
GCF,9705,WP_010994506.1|HK|Classic,36,44,24,1.83333333,0.33432836,0.07014925,659.838417,0.99824269,-0.1965672
GCF,9705,WP_010994530.1|HK|Classic,92,52,96,0.54166667,0.33259424,0.08592018,1790.9478,0.99774251,-0.1189024
GCF,9705,WP_010994532.1|RR|unclassified,13,11,18,0.61111111,0.34615385,0.05944056,276.884726,0.99958385,-0.1506993
GCF,9705,WP_010994604.1|HK|Classic,26,31,38,0.81578947,0.2967033,0.0989011,627.767369,0.99962957,-0.255573
GCF,9705,WP_010994605.1|RR|YesN,15,15,17,0.88235294,0.31884058,0.06884058,266.493071,0.99810139,-0.2221014
GCF,9705,WP_010994618.1|RR|CheY,9,5,9,0.55555556,0.35820896,0.03731343,124.999881,0.99999905,-0.0134328
GCF,9705,WP_010994697.1|RR|unclassified,14,17,25,0.68,0.28759894,0.08970976,370.007524,1.00002033,-0.2543536
GCF,9705,WP_010994718.1|HK|Classic,34,33,24,1.375,0.34554974,0.06282723,563.52181,0.99915214,-0.1057592
GCF,9705,WP_010994722.1|HK|Classic,22,15,24,0.625,0.30936819,0.06535948,449.722929,0.99938429,-0.1958606
GCF,9705,WP_010994884.1|HK|Classic,102,58,93,0.62365591,0.34521158,0.08296214,1782.54846,0.99750893,-0.0332405
GCF,9705,WP_010994885.1|HK|Classic,88,53,91,0.58241758,0.34963869,0.08337966,1783.47237,0.99635328,-0.0164536
GCF,9705,WP_010994904.1|HK|Hybrid,87,77,84,0.91666667,0.33130699,0.07051672,1634.82129,0.99927951,-0.1964742
GCF,9705,WP_010994948.1|RR|CheY,6,5,8,0.625,0.4140625,0.0546875,118.374917,0.9947472,0.13046875
GCF,9705,WP_010994997.1|RR|CheY,7,3,10,0.3,0.336,0.048,116.582238,1.00501929,-0.0648
GCF,9705,WP_010994998.1|HK|Hybrid,66,50,54,0.92592593,0.31936128,0.06986028,993.811726,1.00081745,-0.2775449
GCF,9705,WP_010995027.1|HK|Classic,28,32,32,1,0.32195846,0.05192878,665.315083,1.00047381,-0.2405045
GCF,9705,WP_010995060.1|HK|Classic,82,51,109,0.46788991,0.3372973,0.09189189,1836.28988,0.99744154,-0.0775676
GCF,9705,WP_010995087.1|RR|NarL,15,9,10,0.9,0.40888889,0.02666667,215.636655,0.99831785,0.14711111
GCF,9705,WP_010995100.1|HK|CheA,86,73,62,1.17741935,0.30458901,0.04740292,1989.12457,1.00766189,-0.3466465
GCF,9705,WP_010995103.1|RR|CheY,8,5,9,0.55555556,0.31404959,0.04958678,112.532083,1.00475074,-0.1586777
GCF,9705,WP_010995104.1|RR|unclassified,23,20,18,1.11111111,0.30582524,0.10679612,401.263226,0.99569039,-0.2325243
GCF,9705,WP_010995134.1|RR|CheY,26,32,21,1.52380952,0.39285714,0.05952381,576.25775,0.99526382,0.09982993
GCF,9705,WP_010995152.1|HK|Hybrid,59,66,34,1.94117647,0.33642496,0.07841484,1175.99694,0.99914778,-0.2245363
GCF,9705,WP_010995186.1|RR|PleD,30,22,24,0.91666667,0.33796296,0.06712963,423.003036,1.00000718,-0.1717593
GCF,9705,WP_010995242.1|HK|CheA,56,39,55,0.70909091,0.33389831,0.06610169,1172.13613,1.00097022,-0.1910169
GCF,9705,WP_010995245.1|RR|CheY,6,4,9,0.44444444,0.29166667,0.05833333,111.854952,1.00770227,-0.3083333
GCF,9705,WP_010995246.1|RR|unclassified,14,21,24,0.875,0.3248731,0.07106599,383.64106,0.99647028,-0.0545685
GCF,9705,WP_010995260.1|RR|RsbU,20,17,16,1.0625,0.33597884,0.08994709,367.717548,0.99652452,-0.0671958
GCF,9705,WP_010995262.1|HK|Classic,25,14,27,0.51851852,0.34188034,0.06623932,459.235929,1.00051401,-0.1153846
GCF,9705,WP_010995294.1|HK|Hybrid,141,102,106,0.96226415,0.35248447,0.04089027,1928.99452,1.00311728,-0.1613872
GCF,9705,WP_010995318.1|HK|Classic,39,26,36,0.72222222,0.30265211,0.07644306,631.519548,0.99923979,-0.276131
GCF,9705,WP_010995343.1|RR|OmpR,13,15,10,1.5,0.2991453,0.07264957,224.807512,0.9991445,-0.3884615
GCF,9705,WP_010995344.1|HK|Classic,30,27,17,1.58823529,0.33258929,0.08258929,436.432286,0.99415099,-0.1196429
GCF,9705,WP_010995350.1|HK|Hybrid,21,12,31,0.38709677,0.32954545,0.06363636,431.361167,1.00083797,-0.09
GCF,9705,WP_010995364.1|HK|Classic,25,17,23,0.73913043,0.34942529,0.06896552,424.771452,0.99711609,0.03310345
GCF,9705,WP_010995365.1|HK|Classic,19,21,24,0.875,0.34957627,0.07627119,460.781476,0.99520837,0.05021186
GCF,9705,WP_010995367.1|RR|OmpR,13,23,8,2.875,0.34210526,0.07894737,218.481226,0.99763117,-0.2508772
GCF,9705,WP_010995401.1|HK|Classic,92,88,72,1.22222222,0.29959977,0.08519154,1738.00799,0.99885517,-0.2906232
GCF,9705,WP_010995402.1|RR|VieA,17,12,23,0.52173913,0.33746898,0.08188586,393.317262,0.99826716,0.00918114
GCF,9705,WP_010995403.1|HK|Hybrid,22,16,25,0.64,0.33333333,0.05684755,378.399381,1.00105656,-0.1310078
GCF,9705,WP_010995451.1|HK|Hybrid,28,22,25,0.88,0.3313253,0.06626506,488.540262,0.99905984,-0.064257
GCF,9705,WP_010995452.1|HK|Classic,40,50,39,1.28205128,0.34112646,0.07226355,929.799405,0.99763885,-0.1859724
GCF,9705,WP_010995453.1|RR|CheY,11,6,22,0.27272727,0.38028169,0.04694836,204.729202,1.00357452,-0.0328638
GCF,9705,WP_010995457.1|HK|Hybrid,28,19,34,0.55882353,0.33499171,0.05306799,594.774167,1.00130331,-0.2363184
GCF,9705,WP_010995480.1|HK|Classic,38,24,26,0.92307692,0.32991453,0.06324786,574.922821,0.9981299,-0.0794872
GCF,9705,WP_010995560.1|HK|Hybrid,26,13,24,0.54166667,0.32482599,0.06728538,422.096917,1.00022966,-0.1524362
GCF,9705,WP_010995561.1|HK|Hybrid,41,36,43,0.8372093,0.33908755,0.06781751,800.849048,0.9985649,-0.094328
GCF,9705,WP_010995720.1|HK|Classic,28,21,34,0.61764706,0.31953642,0.07119205,595.424679,1.00071375,-0.2365894
GCF,9705,WP_010995794.1|HK|Classic,83,64,83,0.77108434,0.33296027,0.08226077,1772.37602,0.99683691,-0.1148853
GCF,9705,WP_010995834.1|HK|Classic,27,23,24,0.95833333,0.32696391,0.04883227,460.965667,0.99776118,-0.1407643
GCF,9705,WP_010995849.1|HK|Classic,21,16,17,0.94117647,0.29569892,0.10752688,362.461821,0.99851741,-0.1725806
GCF,9705,WP_010995857.1|HK|Classic,27,41,21,1.95238095,0.32840237,0.07100592,666.22644,0.99884024,-0.2195266
GCF,9705,WP_010995872.1|RR|RsbU,23,26,24,1.08333333,0.34290844,0.07540395,546.711321,0.9976484,-0.1861759
GCF,9705,WP_010995873.1|RR|NarL,12,13,14,0.92857143,0.38912134,0.0334728,230.31469,1.00136822,-0.0732218
GCF,9705,WP_010995904.1|RR|NarL,11,15,12,1.25,0.31601732,0.06060606,223.256512,1.00565996,-0.3675325
GCF,9705,WP_010995972.1|HK|Hybrid,81,67,48,1.39583333,0.35586636,0.07459207,1272.67012,0.99582951,0.01958042
GCF,9705,WP_010996014.1|HK|Hybrid,42,43,27,1.59259259,0.34117647,0.06029412,671.039298,1.00005857,-0.1366176
GCF,9705,WP_010996047.1|HK|Hybrid,57,67,49,1.36734694,0.33752094,0.05695142,1186.10746,1.00093457,-0.2117253
GCF,9705,WP_010996078.1|HK|Hybrid,71,51,56,0.91071429,0.31611754,0.06945681,1113.02625,0.9991259,-0.1475512
GCF,9705,WP_010996130.1|HK|Classic,52,55,38,1.44736842,0.30716724,0.08759954,869.185798,0.99906414,-0.3642776
GCF,9705,WP_010996132.1|HK|Hybrid,52,32,42,0.76190476,0.35309618,0.05665349,749.702631,0.99960351,-0.0463768
GCF,9705,WP_010996210.1|RR|CheY,7,3,4,0.75,0.35714286,0.07142857,144.500214,0.9965532,0.07532468
GCF,9705,WP_010996252.1|HK|Hybrid,27,30,20,1.5,0.31698774,0.0647986,562.018798,1.00003345,-0.1977233
GCF,9705,WP_010996281.1|HK|Classic,22,17,25,0.68,0.32173913,0.08478261,449.58544,0.9968635,-0.1630435
GCF,9705,WP_010996295.1|HK|Classic,52,70,29,2.4137931,0.33898305,0.06991525,934.354595,0.99930973,-0.2949153
GCF,9705,WP_010996296.1|RR|NarL,12,14,8,1.75,0.3923445,0.02870813,200.003405,1.00001702,-0.05311
GCF,9705,WP_010996319.1|HK|CheA,52,56,41,1.36585366,0.31314168,0.05030801,967.899143,1.00300429,-0.3318275
GCF,9705,WP_010996322.1|RR|CheY,6,4,11,0.36363636,0.352,0.048,116.440536,1.00379772,0.0224
GCF,9705,WP_010996323.1|RR|unclassified,11,20,19,1.05263158,0.28242075,0.08069164,337.646833,0.99895513,-0.2815562
GCF,9705,WP_010996397.1|HK|Hybrid,91,107,77,1.38961039,0.29232572,0.08845929,1698.44143,1.00025997,-0.4184534
GCF,9705,WP_010996398.1|RR|CheY,6,10,13,0.76923077,0.31632653,0.07653061,187.658512,1.00352145,-0.3346939
GCF,9705,WP_010996399.1|HK|Hybrid,19,15,20,0.75,0.35543767,0.06100796,367.702131,0.99919057,-0.0079576
GCF,9705,WP_010996415.1|HK|Classic,89,51,114,0.44736842,0.35002814,0.08272369,1764.01727,0.99774733,-0.0499156
GCF,9705,WP_010996436.1|HK|Unorthodox,65,66,70,0.94285714,0.3287144,0.0669746,1288.80679,0.99907503,-0.226251
GCF,9705,WP_010996438.1|RR|CheY,6,9,14,0.64285714,0.31896552,0.07327586,223.505286,1.00226586,-0.374569
GCF,9705,WP_010996439.1|HK|Classic,90,47,108,0.43518519,0.34548514,0.0908581,1771.1795,0.99841009,-0.0757712
GCF,9705,WP_010996462.1|RR|PleD_VieA,28,29,35,0.82857143,0.33878887,0.0801964,600.433143,0.99739725,-0.0834697
GCF,9705,WP_010996463.1|HK|Hybrid,25,19,21,0.9047619,0.34468085,0.05744681,459.751464,0.99729168,-0.0925532
GCF,9705,WP_010996535.1|HK|Hybrid,68,68,47,1.44680851,0.33258929,0.06547619,1331.76625,0.99757772,-0.1265625
GCF,9705,WP_010996584.1|HK|Unorthodox,94,107,62,1.72580645,0.32636755,0.06207744,1618.71032,1.00043901,-0.2555624
GCF,9705,WP_010996585.1|RR|CheY,7,4,7,0.57142857,0.37795276,0.05511811,117.990679,0.999921,0.03858268
GCF,9705,WP_010996637.1|HK|Classic,47,34,31,1.09677419,0.30212766,0.06950355,696.86819,1.0012474,-0.3114894
GCF,9705,WP_010996728.1|PP|HisKa,20,26,18,1.44444444,0.33,0.058,490.36669,0.99871016,-0.1
GCF,9705,WP_010996838.1|HK|Classic,90,69,108,0.63888889,0.33761562,0.08427544,1933.11389,0.99799375,-0.1040082
GCF,9705,WP_010996852.1|HK|Classic,50,43,38,1.13157895,0.31847826,0.075,909.330369,0.99816725,-0.2216304
GCF,9705,WP_010996879.1|RR|CheY,6,5,9,0.55555556,0.36428571,0.10714286,130.219107,0.99403899,0.13714286
GCF,9705,WP_010996892.1|HK|Classic,27,25,30,0.83333333,0.33333333,0.05752961,582.4065,1.00069845,-0.1847716
GCF,9705,WP_010996972.1|RR|unclassified,13,22,21,1.04761905,0.32603939,0.08315098,446.116333,0.99579539,-0.0884026
GCF,9705,WP_010997025.1|RR|PleD,14,25,9,2.77777778,0.33939394,0.07272727,319.406905,0.99503709,-0.2021212
GCF,9705,WP_010997026.1|HK|Unorthodox,96,98,83,1.18072289,0.32526142,0.07264722,1804.18817,0.99789169,-0.206164
GCF,9705,WP_010997048.1|HK|Hybrid,38,41,30,1.36666667,0.31424149,0.07585139,637.012845,1.00002017,-0.3681115
GCF,9705,WP_010997050.1|HK|Classic,37,33,39,0.84615385,0.32356858,0.07723036,740.854298,0.99845593,-0.1667111
GCF,9705,WP_010997106.1|RR|CheY,3,6,9,0.66666667,0.36153846,0.06923077,121.23294,1.00192513,-0.1807692
GCF,9705,WP_010997188.1|HK|Classic,16,27,17,1.58823529,0.36111111,0.05555556,386.039619,0.9975184,-0.1113636
GCF,9705,WP_010997243.1|HK|Hybrid,82,75,55,1.36363636,0.33488372,0.08139535,1278.61351,0.99813701,-0.1668992
GCF,9705,WP_010997272.1|HK|Hybrid,18,16,13,1.23076923,0.35340314,0.06020942,371.665429,0.99642206,0.03010471
GCF,9705,WP_010997307.1|RR|NarL,14,10,13,0.76923077,0.39912281,0.02631579,219.100179,1.00045744,-0.0144737
GCF,9705,WP_010997308.1|HK|Classic,40,42,35,1.2,0.32941176,0.08496732,754.665869,0.99823528,-0.2118954
GCF,9705,WP_010997309.1|RR|CheY,4,10,8,1.25,0.31756757,0.06756757,138.966119,0.99975625,-0.3641892
GCF,9705,WP_010997310.1|HK|Hybrid,24,17,21,0.80952381,0.37662338,0.04415584,375.278298,0.99808058,0.04883117
GCF,9705,WP_010997318.1|HK|Classic,27,25,17,1.47058824,0.3547619,0.08809524,408.17444,0.99312516,0.01357143
GCF,9705,WP_010997411.1|RR|OmpR,13,18,11,1.63636364,0.3487395,0.07563025,228.315262,0.99700988,-0.1613445
GCF,9705,WP_010997426.1|HK|Hybrid,60,43,32,1.34375,0.37570304,0.08211474,873.094095,0.99215238,0.20618673
GCF,9705,WP_010997499.1|RR|NarL,12,11,16,0.6875,0.33632287,0.06726457,214.004024,1.0000188,-0.2282511
GCF,9705,WP_010997536.1|RR|CheY,8,4,7,0.57142857,0.34645669,0.08661417,118.149798,1.00126947,-0.1409449
GCF,9705,WP_010997592.1|HK|Hybrid,52,52,36,1.44444444,0.33641618,0.07052023,855.657607,0.99960001,-0.2802312
GCF,9705,WP_010997697.1|HK|Classic,26,17,26,0.65384615,0.33406114,0.0720524,447.553274,0.99677789,-0.0449782
GCF,9705,WP_010997707.1|HK|Classic,85,62,93,0.66666667,0.35476718,0.08148559,1786.8545,0.99546212,-0.041408
GCF,9705,WP_010997713.1|HK|Classic,37,37,17,2.17647059,0.3344,0.1008,611.219417,0.99223931,-0.00368
GCF,9705,WP_010997736.1|HK|Classic,31,29,13,2.23076923,0.33894737,0.07368421,463.817571,0.99531668,-0.0583158
GCF,9705,WP_010997743.1|RR|CheY,7,5,7,0.71428571,0.31884058,0.03623188,129.312214,1.00242027,-0.0847826
GCF,9705,WP_010997748.1|RR|PleD,18,18,18,1,0.34302326,0.07267442,333.654571,0.9959838,-0.1688953
GCF,9705,WP_010997749.1|HK|Classic,21,25,21,1.19047619,0.33167082,0.06733167,392.249536,1.00063657,-0.357606
GCF,9705,WP_010997804.1|RR|NarL,11,14,13,1.07692308,0.30222222,0.05777778,216.9695,1.00448843,-0.428
GCF,9705,WP_010997900.1|RR|RsbU,25,13,21,0.61904762,0.34848485,0.07575758,386.1015,0.99767829,-0.0368687
GCF,9705,WP_010997902.1|HK|Unorthodox,77,78,68,1.14705882,0.34580645,0.06774194,1536.72029,0.99722277,-0.1037419
GCF,9705,WP_010997905.1|HK|Hybrid,22,24,19,1.26315789,0.32520325,0.05691057,360.4,1.00111111,-0.1945799
GCF,9705,WP_010997906.1|HK|Hybrid,21,27,29,0.93103448,0.34085779,0.05191874,434.20469,1.00047164,-0.1433409
GCF,9705,WP_010997907.1|RR|CheY,5,9,7,1.28571429,0.34265734,0.07692308,133.465107,0.99600826,-0.0797203
GCF,9705,WP_010997909.1|RR|NarL,16,12,13,0.92307692,0.36666667,0.04166667,231.173274,1.0007501,-0.0691667
GCF,9705,WP_010997929.1|RR|OmpR,13,16,13,1.23076923,0.33193277,0.08403361,228.708548,0.99872728,-0.1130252
GCF,9705,WP_010997963.1|RR|OmpR,19,21,12,1.75,0.31818182,0.04958678,233.492917,1.00211552,-0.2752066
GCF,9705,WP_010998061.1|RR|RpfG,30,20,21,0.95238095,0.30193237,0.06038647,405.486869,1.00120215,-0.2748792
GCF,9705,WP_010998123.1|HK|Classic,32,20,21,0.95238095,0.35022026,0.04185022,445.928786,1.00208716,-0.1585903
GCF,9705,WP_010998236.1|HK|Hybrid,17,13,18,0.72222222,0.37359551,0.04213483,346.263369,0.99787714,0.08146067
GCF,9705,WP_010998399.1|HK|Classic,56,51,47,1.08510638,0.34362934,0.08301158,1025.19238,0.9982399,-0.171332
GCF,9705,WP_010998450.1|RR|OmpR,14,24,7,3.42857143,0.32421875,0.07421875,246.352726,0.99737946,-0.3210938
GCF,9705,WP_010998554.1|RR|CheY,2,2,6,0.33333333,0.2804878,0.06097561,72.86575,0.99816096,-0.1439024
GCF,9705,WP_010998629.1|HK|Classic,30,29,36,0.80555556,0.32869565,0.0626087,567.728369,1.00305366,-0.2217391
GCF,9705,WP_010998635.1|HK|Classic,18,29,13,2.23076923,0.34101382,0.06912442,423.829631,0.99724619,-0.2260369
GCF,9705,WP_010998718.1|HK|Classic,39,30,37,0.81081081,0.34302326,0.06976744,677.614357,0.99795929,-0.0938953
GCF,9705,WP_010998766.1|RR|NarL,11,10,10,1,0.37442922,0.0456621,209.790905,0.99900431,-0.1223744
GCF,9705,WP_010998767.1|HK|Classic,20,30,12,2.5,0.35910224,0.08478803,388.734381,0.99166934,0.21446384
GCF,9705,WP_010998818.1|HK|Classic,90,65,109,0.59633028,0.33315789,0.08842105,1887.68015,0.9982444,-0.1233684
GCF,9705,WP_010998847.1|HK|Classic,21,14,23,0.60869565,0.36111111,0.09615385,455.851036,0.99313951,0.0957265
GCF,9705,WP_010998857.1|HK|Classic,26,32,8,4,0.35040431,0.06738544,360.12481,0.99481992,0.00377358
GCF,9705,WP_010998858.1|RR|OmpR,15,20,10,2,0.30252101,0.06302521,229.399881,1.00174621,-0.3281513
GCF,9705,WP_010998881.1|RR|OmpR,13,21,7,3,0.34210526,0.0745614,218.161012,0.996169,-0.1802632
GCF,9705,WP_010999005.1|HK|Hybrid,25,15,24,0.625,0.34643735,0.05651106,397.570976,0.99892205,0.0004914
GCF,9705,WP_010999006.1|HK|Hybrid,24,16,27,0.59259259,0.32054176,0.05643341,434.505905,1.00116568,-0.1593679
GCF,9705,WP_010999008.1|HK|Classic,17,14,25,0.56,0.3128655,0.06725146,334.088179,1.0032678,-0.2576023
GCF,9705,WP_010999031.1|HK|Classic,18,27,35,0.77142857,0.33030853,0.08711434,541.04356,0.99823535,-0.1715064
GCF,9705,WP_010999053.1|RR|CheY,5,8,12,0.66666667,0.32484076,0.07006369,147.712274,0.9980559,-0.1171975
GCF,9705,WP_010999089.1|HK|Hybrid,59,69,47,1.46808511,0.34632035,0.05974026,1144.51754,0.9987064,-0.1471861
GCF,9705,WP_010999276.1|RR|NarL,13,15,14,1.07142857,0.32888889,0.05333333,215.905762,0.99956371,-0.2444444
GCF,9705,WP_010999296.1|RR|CheY,6,4,7,0.57142857,0.43548387,0.0483871,114.764524,0.99795238,0.27741935
GCF,9705,WP_010999297.1|HK|Hybrid,56,46,52,0.88461538,0.33056995,0.0746114,955.598762,0.99958029,-0.1732642
GCF,9705,WP_010999298.1|RR|OmpR,44,31,34,0.91176471,0.33610649,0.06156406,592.91444,1.00154466,-0.2361065
GCF,9705,WP_010999312.1|RR|OmpR,21,19,10,1.9,0.32432432,0.07657658,213.343631,1.00161329,-0.2202703
GCF,9705,WP_010999313.1|HK|Classic,30,37,27,1.37037037,0.32774674,0.0744879,527.378155,0.99882226,-0.1929236
GCF,9705,WP_010999334.1|HK|Hybrid,85,77,67,1.14925373,0.3716303,0.07509628,1543.94424,0.99673611,0.0029525
GCF,9705,WP_010999375.1|RR|unclassified,13,15,12,1.25,0.36825397,0.05714286,305.644798,0.99883921,-0.0419048
GCF,9705,WP_010999396.1|HK|Classic,32,33,35,0.94285714,0.32223702,0.0665779,740.040452,0.9973591,-0.1781625
GCF,9705,WP_010999432.1|HK|Hybrid,26,13,28,0.46428571,0.31578947,0.04347826,428.698821,1.00163276,-0.183524
GCF,9705,WP_010999433.1|HK|Hybrid,64,44,44,1,0.33903743,0.06203209,925.118012,0.99904753,-0.0616043
GCF,9705,WP_010999447.1|RR|OmpR,25,27,34,0.79411765,0.36885246,0.07868852,598.866786,0.99645056,0.01295082
GCF,9705,WP_010999451.1|HK|Classic,39,39,14,2.78571429,0.33631485,0.07871199,547.735762,0.9958832,-0.1078712
GCF,9705,WP_010999452.1|RR|CheY,8,5,6,0.83333333,0.36585366,0.02439024,113.656631,0.99698799,0.02520325
GCF,9705,WP_010999512.1|RR|CheY,3,6,6,1,0.36805556,0.04861111,134.133798,0.99358369,0.04166667
GCF,9705,WP_010999525.1|RR|NarL,9,10,16,0.625,0.34529148,0.0941704,213.604738,0.99815298,-0.0313901
GCF,9705,WP_010999529.1|RR|NarL,12,12,12,1,0.38818565,0.03375527,227.234726,0.99664354,0.07763713
GCF,9705,WP_010999774.1|RR|NarL,11,5,17,0.29411765,0.36697248,0.06880734,208.534202,0.9977713,0.1059633
GCF,9705,WP_011321022.1|RR|CheY,3,6,9,0.66666667,0.37671233,0.07534247,136.696143,0.99778206,0.05684932
GCF,9705,WP_044520686.1|HK|Hybrid,28,18,23,0.7826087,0.35211268,0.04929577,417.14556,1.00034906,-0.0532864
GCF,9705,WP_044520690.1|HK|Classic,45,37,40,0.925,0.31787176,0.08321965,722.975464,0.9985849,-0.2376535
GCF,9705,WP_044520703.1|HK|Classic,26,19,20,0.95,0.3037694,0.07095344,442.35156,1.00079538,-0.2476718
GCF,9705,WP_044520731.1|HK|Classic,35,24,39,0.61538462,0.33284242,0.0544919,671.190095,1.00177626,-0.1830633
GCF,9705,WP_044520765.1|HK|Classic,97,51,99,0.51515152,0.34763231,0.08245125,1780.54625,0.99694639,-0.0508078
GCF,9705,WP_044520836.1|HK|Hybrid,63,35,50,0.7,0.34632517,0.07238307,887.339714,0.99813241,0.02138085
GCF,9705,WP_044521046.1|HK|Hybrid,78,84,60,1.4,0.33120114,0.05899076,1400.89527,1.00207101,-0.2587065
GCF,9705,WP_044521154.1|RR|OmpR,16,18,9,2,0.33913043,0.06521739,220.806452,0.99912422,-0.2404348
GCF,9705,WP_044521632.1|HK|Hybrid,54,79,44,1.79545455,0.34850863,0.05259027,1260.64836,0.99655997,-0.0745683
GCF,9705,WP_044521642.1|HK|Classic,21,25,9,2.77777778,0.36118598,0.08625337,359.027298,0.99178811,0.12237197
GCF,9705,WP_044521723.1|HK|Classic,23,27,22,1.22727273,0.32743363,0.07079646,442.731512,0.99939393,-0.1400442
GCF,9705,WP_044521794.1|HK|Classic,39,35,23,1.52173913,0.35230769,0.07076923,639.382893,0.99747721,-0.0130769
GCF,9705,WP_044521807.1|HK|Classic,26,23,19,1.21052632,0.29978118,0.04595186,449.073286,1.00239573,-0.2978118
GCF,9705,WP_044521872.1|HK|Hybrid,27,23,14,1.64285714,0.36641221,0.04834606,382.970095,0.99731796,0.05216285
GCF,9705,WP_044521884.1|HK|Classic,97,77,97,0.79381443,0.33333333,0.08581349,2000.2842,0.99665381,-0.1409226
GCF,9705,WP_044521924.1|HK|Classic,34,38,21,1.80952381,0.28346457,0.07480315,499.372357,1.00074621,-0.426378
GCF,9705,WP_044522086.1|HK|Hybrid,55,49,50,0.98,0.32415254,0.06673729,934.582714,0.99955371,-0.2005297
GCF,9705,WP_044522204.1|RR|OmpR,17,22,9,2.44444444,0.316,0.084,240.511131,0.9979715,-0.1844
GCF,9705,WP_044522391.1|RR|CheY,10,3,9,0.33333333,0.38285714,0.05714286,164.30344,0.98977976,0.44685714
GCF,9705,WP_044522467.1|HK|Classic,27,30,22,1.36363636,0.33011583,0.05984556,509.087333,1.00017158,-0.1945946
GCF,9705,WP_044522960.1|RR|RsbU,20,14,16,0.875,0.3203125,0.08333333,374.500536,0.9986681,-0.1369792
GCF,9705,WP_044523071.1|HK|Hybrid,63,66,40,1.65,0.34052111,0.04761905,1102.91815,0.99902007,-0.1573226
GCF,9705,WP_044523073.1|RR|CheY,5,7,4,1.75,0.35761589,0.0794702,140.505226,0.98947342,0.12913907
GCF,9705,WP_044523117.1|RR|YesN,16,17,14,1.21428571,0.32291667,0.07638889,278.400214,0.99785023,-0.246875
GCF,9705,WP_044523254.1|HK|Classic,47,61,37,1.64864865,0.33089005,0.06806283,942.760036,0.99657509,-0.2684817
GCF,9705,WP_044523356.1|RR|NarL,10,17,6,2.83333333,0.32599119,0.05726872,217.424488,0.99736004,-0.1660793
GCF,9705,WP_126986987.1|RR|CheY,3,5,6,0.83333333,0.36842105,0.05263158,122.882452,0.99098752,0.03609023
GCF,9705,WP_126986990.1|HK|Classic,56,53,42,1.26190476,0.30072091,0.08650875,962.364702,1.00037911,-0.2913491
GCF,9705,WP_126987181.1|HK|Hybrid,50,38,44,0.86363636,0.34718826,0.06479218,809.095714,1.00011831,-0.101467
